Date : 2020-09-18 11:53:34
Directory : c:\Users\james\Documents\GitHub\francesca-jade-creates
Total : 192 files,  47137 codes, 1954 comments, 1236 blanks, all 50327 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\james\Documents\GitHub\francesca-jade-creates\.eslintrc.json                                                                                             | JSON             |         56 |          1 |          1 |         58 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\.graphqlconfig.yml                                                                                         | YAML             |         18 |          0 |          1 |         19 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\.prettierrc                                                                                                | JSON             |         16 |          0 |          1 |         17 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\.stylelintrc.json                                                                                          | JSON             |         20 |          0 |          1 |         21 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\README.md                                                                                                  | Markdown         |         28 |          0 |          8 |         36 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplifyPublishIgnore.json                                                                                  | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\.config\project-config.json                                                                        | JSON             |         17 |          0 |          0 |         17 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\parameters.json                                                   | JSON             |         11 |          0 |          0 |         11 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\schema.graphql                                                    | GraphQL          |        119 |          0 |         13 |        132 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\stacks\CustomResources.json                                       | JSON             |         61 |          0 |          0 |         61 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\transform.conf.json                                               | JSON             |          5 |          0 |          0 |          5 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\orderlambda\api-params.json                                                            | JSON             |         53 |          0 |          0 |         53 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\orderlambda\orderlambda-cloudformation-template.json                                   | JSON             |        600 |          0 |         53 |        653 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\orderlambda\parameters.json                                                            | JSON             |          8 |          0 |          0 |          8 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\auth\francescajadecreatesf155220b\francescajadecreatesf155220b-cloudformation-template.yml | YAML             |        638 |         29 |        131 |        798 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\auth\francescajadecreatesf155220b\parameters.json                                          | JSON             |         72 |          0 |          0 |         72 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\backend-config.json                                                                        | JSON             |         90 |          0 |          0 |         90 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\function-parameters.json                                              | JSON             |          3 |          0 |          0 |          3 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\orderlambda-cloudformation-template.json                              | JSON             |        184 |          0 |          0 |        184 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\parameters.json                                                       | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\src\app.js                                                            | JavaScript       |         64 |         12 |         10 |         86 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\src\event.json                                                        | JSON             |          5 |          0 |          1 |          6 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\src\index.js                                                          | JavaScript       |          7 |          0 |          3 |         10 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\src\package-lock.json                                                 | JSON             |        407 |          0 |          1 |        408 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\orderlambda\src\package.json                                                      | JSON             |         19 |          0 |          1 |         20 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\function-parameters.json                                            | JSON             |         10 |          0 |          0 |         10 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\parameters.json                                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\src\app.js                                                          | JavaScript       |        183 |         18 |         17 |        218 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\src\event.json                                                      | JSON             |          5 |          0 |          1 |          6 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\src\index.js                                                        | JavaScript       |          7 |          0 |          3 |         10 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\src\package-lock.json                                               | JSON             |        508 |          0 |          1 |        509 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\src\package.json                                                    | JSON             |         21 |          0 |          1 |         22 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\function\stripeWebhook\stripeWebhook-cloudformation-template.json                          | JSON             |        185 |         85 |          0 |        270 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\parameters.json                                         | JSON             |         34 |          0 |          0 |         34 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\s3-cloudformation-template.json                         | JSON             |        263 |        389 |          6 |        658 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\storage\francescajadecreatesimages\storage-params.json                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\team-provider-info.json                                                                            | JSON             |         25 |          0 |          0 |         25 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\app.d.ts                                                                                                   | TypeScript       |         17 |          1 |          4 |         22 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\jest.config.js                                                                                             | JavaScript       |         10 |        127 |         53 |        190 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\package-lock.json                                                                                          | JSON             |     21,813 |          0 |          1 |     21,814 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\package.json                                                                                               | JSON             |        137 |          0 |          1 |        138 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\public\index.html                                                                                          | HTML             |         17 |          0 |          2 |         19 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\schema.graphql                                                                                             | GraphQL          |         81 |          0 |          6 |         87 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\API.ts                                                                                                 | TypeScript       |      2,296 |          3 |         64 |      2,363 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\fileMock.js                                                                                  | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\products.ts                                                                                  | TypeScript       |         73 |          0 |          3 |         76 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\react-redux-hooks.js                                                                         | JavaScript       |          6 |          0 |          2 |          8 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\shallowMock.jsx                                                                              | JavaScript React |          5 |          0 |          3 |          8 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\__mocks__\styleMock.js                                                                                 | JavaScript       |          1 |          0 |          1 |          2 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\__tests__\basket.actions.test.ts                                                               | TypeScript       |         33 |          0 |          4 |         37 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\__tests__\user.actions.test.ts                                                                 | TypeScript       |         17 |          0 |          3 |         20 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\basket.actions.ts                                                                              | TypeScript       |         51 |          0 |          8 |         59 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\products.actions.ts                                                                            | TypeScript       |         69 |          1 |          8 |         78 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\user.actions.ts                                                                                | TypeScript       |         30 |          0 |          4 |         34 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\Loading.tsx                                                                                     | TypeScript React |         40 |          6 |          4 |         50 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\Pagination.tsx                                                                                  | TypeScript React |         46 |          7 |          6 |         59 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ImageCarousel.test.tsx                                                                | TypeScript React |         81 |          9 |          9 |         99 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ImagePicker.test.tsx                                                                  | TypeScript React |         38 |          0 |          4 |         42 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\Loading.test.tsx                                                                      | TypeScript React |         28 |          0 |          4 |         32 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\NavBar.test.tsx                                                                       | TypeScript React |        251 |         48 |         15 |        314 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ProductCard.test.tsx                                                                  | TypeScript React |        110 |         50 |          8 |        168 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ProductTypePage.test.tsx                                                              | TypeScript React |         54 |          0 |          4 |         58 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ViewProduct.test.tsx                                                                  | TypeScript React |        117 |         24 |          7 |        148 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\alerts\ConfirmDialog.tsx                                                                        | TypeScript React |         88 |          0 |          4 |         92 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\alerts\DeleteImageDialog.tsx                                                                    | TypeScript React |         77 |          1 |          5 |         83 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ImageCarousel.tsx                                                                    | TypeScript React |        180 |         59 |          9 |        248 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ImagePicker.tsx                                                                      | TypeScript React |        242 |         44 |         13 |        299 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\NonIdealState.tsx                                                                    | TypeScript React |         52 |         10 |          6 |         68 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\OutlinedContainer.tsx                                                                | TypeScript React |         73 |         12 |          6 |         91 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ProductCard.tsx                                                                      | TypeScript React |        357 |         19 |          6 |        382 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\interfaces\ImageCarousel.i.ts                                                        | TypeScript       |         14 |          0 |          3 |         17 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\interfaces\ImagePicker.i.ts                                                          | TypeScript       |         29 |          0 |          4 |         33 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\ChipContainer.tsx                                                                        | TypeScript React |         49 |          9 |          6 |         64 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\LoadingButton.tsx                                                                        | TypeScript React |         21 |          0 |          4 |         25 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\PasswordInput.tsx                                                                        | TypeScript React |         57 |          0 |          4 |         61 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\interfaces\NavBar.i.ts                                                                          | TypeScript       |         10 |          0 |          2 |         12 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\interfaces\PasswordInput.i.ts                                                                   | TypeScript       |          9 |          0 |          1 |         10 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_carousel.scss                                                                             | SCSS             |         69 |          0 |          8 |         77 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_filter.scss                                                                               | SCSS             |         64 |          1 |          9 |         74 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_image-picker.scss                                                                         | SCSS             |         21 |          1 |          3 |         25 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_navbar.scss                                                                               | SCSS             |        125 |          0 |         16 |        141 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_pagination.scss                                                                           | SCSS             |          4 |          0 |          1 |          5 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_product-list.scss                                                                         | SCSS             |         50 |          1 |          7 |         58 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_product.scss                                                                              | SCSS             |         36 |          0 |          5 |         41 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_tags.scss                                                                                 | SCSS             |         16 |          0 |          2 |         18 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_view.scss                                                                                 | SCSS             |         40 |          0 |          7 |         47 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\styles\imagePicker.style.ts                                                                     | TypeScript       |         20 |          0 |          2 |         22 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\styles\viewProduct.style.ts                                                                     | TypeScript       |         17 |          0 |          3 |         20 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\mutations.ts                                                                                   | TypeScript       |        693 |          3 |          2 |        698 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\queries.ts                                                                                     | TypeScript       |        686 |          3 |          2 |        691 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\schema.json                                                                                    | JSON             |      5,445 |          0 |          0 |      5,445 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\subscriptions.ts                                                                               | TypeScript       |        347 |          3 |          2 |        352 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\hooks\useScreenWidth.ts                                                                                | TypeScript       |         14 |          0 |          6 |         20 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\index.tsx                                                                                              | TypeScript React |         78 |          6 |          8 |         92 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\basket.redux.i.ts                                                                           | TypeScript       |         48 |          2 |         11 |         61 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\products.redux.i.ts                                                                         | TypeScript       |         58 |          1 |         13 |         72 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\user.redux.i.ts                                                                             | TypeScript       |         24 |          1 |          8 |         33 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\AccountsPage.tsx                                                                        | TypeScript React |        167 |          0 |         14 |        181 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\AdminProducts.tsx                                                            | TypeScript React |         27 |          0 |          4 |         31 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Orders.tsx                                                                   | TypeScript React |        162 |          0 |         13 |        175 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\PasswordChange.tsx                                                           | TypeScript React |        142 |          4 |         10 |        156 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\ProductsList.tsx                                                             | TypeScript React |        111 |         15 |          9 |        135 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Profile.tsx                                                                  | TypeScript React |        723 |        144 |         18 |        885 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\SearchFilter.tsx                                                             | TypeScript React |        216 |         32 |         10 |        258 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\UpdateProduct.tsx                                                            | TypeScript React |        648 |        135 |         21 |        804 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Variants.tsx                                                                 | TypeScript React |        643 |          0 |         12 |        655 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\VerificationDialog.tsx                                                       | TypeScript React |         81 |          0 |          6 |         87 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\ViewProduct.tsx                                                              | TypeScript React |        183 |         29 |         11 |        223 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Accounts.i.ts                                                                | TypeScript       |         28 |          0 |          3 |         31 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ConfirmDialog.i.ts                                                           | TypeScript       |         11 |          0 |          2 |         13 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\NewProduct.i.ts                                                              | TypeScript       |         41 |          0 |          5 |         46 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\PasswordChange.i.ts                                                          | TypeScript       |         14 |          0 |          3 |         17 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Product.i.ts                                                                 | TypeScript       |         39 |          0 |          7 |         46 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ProductList.i.ts                                                             | TypeScript       |         27 |          0 |          6 |         33 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Profile.i.ts                                                                 | TypeScript       |         59 |          1 |          5 |         65 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\SearchFilter.i.ts                                                            | TypeScript       |         11 |          0 |          4 |         15 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\UpdateProduct.i.ts                                                           | TypeScript       |         35 |          1 |          5 |         41 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Variants.i.ts                                                                | TypeScript       |         52 |          0 |          6 |         58 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ViewProduct.i.ts                                                             | TypeScript       |         16 |          0 |          4 |         20 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_account-page.scss                                                                 | SCSS             |         40 |          0 |          4 |         44 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_confirm.scss                                                                      | SCSS             |          5 |          0 |          1 |          6 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_new-product.scss                                                                  | SCSS             |         42 |         13 |         11 |         66 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_password.scss                                                                     | SCSS             |         23 |          0 |          5 |         28 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_profile.scss                                                                      | SCSS             |         86 |          0 |         14 |        100 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_update.scss                                                                       | SCSS             |         20 |          0 |          4 |         24 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_verify.scss                                                                       | SCSS             |         15 |          0 |          4 |         19 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\orders.style.ts                                                                  | TypeScript       |         90 |          0 |          3 |         93 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\productList.style.ts                                                             | TypeScript       |         36 |          0 |          3 |         39 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\updateProduct.style.ts                                                           | TypeScript       |         64 |          0 |          3 |         67 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\variants.style.ts                                                                | TypeScript       |         68 |          0 |          3 |         71 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\styles\viewProduct.style.ts                                                             | TypeScript       |         43 |          0 |          3 |         46 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\Landing.tsx                                                                                 | TypeScript React |          9 |          0 |          3 |         12 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\Login.tsx                                                                                   | TypeScript React |        177 |          5 |          7 |        189 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\ChangePasswordDialog.tsx                                                         | TypeScript React |        200 |          1 |          8 |        209 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\CreateAccountDialog.tsx                                                          | TypeScript React |        410 |          0 |         11 |        421 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\DesktopLanding.tsx                                                               | TypeScript React |        110 |          0 |          5 |        115 |
| c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\home\components\MobileLanding.tsx                                                                | TypeScript React |         11 |          0 |          4 |         15 |
